name
Q96I99	SUCB2 sp|Q96I99|SUCB2_HUMAN
Q8NFH5	NUP53 sp|Q8NFH5|NUP53_HUMAN
Q13155	AIMP2 sp|Q13155|AIMP2_HUMAN
Q14204	DYHC1 sp|Q14204|DYHC1_HUMAN
Q2NKX8	ERC6L sp|Q2NKX8|ERC6L_HUMAN
P00338	LDHA sp|P00338|LDHA_HUMAN/sp|P07864|LDHC_HUMAN/sp|Q6ZMR3|LDH6A_HUMAN/sp|P07195|LDHB_HUMAN
Q92841	DDX17 sp|Q92841|DDX17_HUMAN/sp|P17844|DDX5_HUMAN
Q58FG1	HS904 sp|Q58FG1|HS904_HUMAN
P68036	UB2L3 sp|P68036|UB2L3_HUMAN
P68032	ACTC sp|P68032|ACTC_HUMAN/sp|P62736|ACTA_HUMAN/sp|P63267|ACTH_HUMAN/sp|P68133|ACTS_HUMAN
P07814	SYEP sp|P07814|SYEP_HUMAN
P20073	ANXA7 sp|P20073|ANXA7_HUMAN
P22102	PUR2 sp|P22102|PUR2_HUMAN
P14649	MYL6B sp|P14649|MYL6B_HUMAN/sp|P60660|MYL6_HUMAN
O15247	CLIC2 sp|O15247|CLIC2_HUMAN
P32322	P5CR1 sp|P32322|P5CR1_HUMAN/sp|Q96C36|P5CR2_HUMAN
P32321	DCTD sp|P32321|DCTD_HUMAN
Q13085	ACACA sp|Q13085|ACACA_HUMAN
O43765	SGTA sp|O43765|SGTA_HUMAN
O75794	CD123 sp|O75794|CD123_HUMAN
O43760	SNG2 sp|O43760|SNG2_HUMAN
P41440	S19A1 sp|P41440|S19A1_HUMAN
Q02750	MP2K1 sp|Q02750|MP2K1_HUMAN/sp|P36507|MP2K2_HUMAN
P60981	DEST sp|P60981|DEST_HUMAN
Q6FI81	CPIN1 sp|Q6FI81|CPIN1_HUMAN
Q5JS54	PSMG4 sp|Q5JS54|PSMG4_HUMAN
P0DN76	U2AF5 sp|P0DN76|U2AF5_HUMAN/sp|Q01081|U2AF1_HUMAN
P60660	MYL6 sp|P60660|MYL6_HUMAN
A6NJ78	MET15 sp|A6NJ78|MET15_HUMAN/sp|P0C7V9|ME15P_HUMAN
Q9H4I3	TRABD sp|Q9H4I3|TRABD_HUMAN
P27361	MK03 sp|P27361|MK03_HUMAN
Q6IN85	P4R3A sp|Q6IN85|P4R3A_HUMAN/sp|Q5MIZ7|P4R3B_HUMAN
O60264	SMCA5 sp|O60264|SMCA5_HUMAN
P60468	SC61B sp|P60468|SC61B_HUMAN
P11586	C1TC sp|P11586|C1TC_HUMAN
O14828	SCAM3 sp|O14828|SCAM3_HUMAN
Q86Y56	DAAF5 sp|Q86Y56|DAAF5_HUMAN
Q15645	PCH2 sp|Q15645|PCH2_HUMAN
Q9NX61	T161A sp|Q9NX61|T161A_HUMAN
Q9NX63	MIC19 sp|Q9NX63|MIC19_HUMAN
Q6P4I2	WDR73 sp|Q6P4I2|WDR73_HUMAN
Q13428	TCOF sp|Q13428|TCOF_HUMAN
Q13427	PPIG sp|Q13427|PPIG_HUMAN
P61758	PFD3 sp|P61758|PFD3_HUMAN
O60313	OPA1 sp|O60313|OPA1_HUMAN
P63261	ACTG sp|P63261|ACTG_HUMAN
Q08752	PPID sp|Q08752|PPID_HUMAN
Q9HD45	TM9S3 sp|Q9HD45|TM9S3_HUMAN
Q9BRF8	CPPED sp|Q9BRF8|CPPED_HUMAN
Q8NI27	THOC2 sp|Q8NI27|THOC2_HUMAN
Q9NZD8	SPG21 sp|Q9NZD8|SPG21_HUMAN
Q13523	PRP4B sp|Q13523|PRP4B_HUMAN
Q13526	PIN1 sp|Q13526|PIN1_HUMAN
O14733	MP2K7 sp|O14733|MP2K7_HUMAN
P48735	IDHP sp|P48735|IDHP_HUMAN
Q9NT62	ATG3 REV_sp|Q8N8A2|ANR44_HUMAN/sp|Q9NT62|ATG3_HUMAN
Q2TAL8	QRIC1 sp|Q2TAL8|QRIC1_HUMAN
Q7L591	DOK3 sp|Q7L591|DOK3_HUMAN
P10768	ESTD sp|P10768|ESTD_HUMAN
Q7L2E3	DHX30 sp|Q7L2E3|DHX30_HUMAN
Q9UQC2	GAB2 sp|Q9UQC2|GAB2_HUMAN
Q15269	PWP2 sp|Q15269|PWP2_HUMAN
P84095	RHOG sp|P84095|RHOG_HUMAN
P61221	ABCE1 sp|P61221|ABCE1_HUMAN
Q96KP1	EXOC2 sp|Q96KP1|EXOC2_HUMAN
Q14997	PSME4 sp|Q14997|PSME4_HUMAN
Q96A33	CCD47 sp|Q96A33|CCD47_HUMAN
Q9UNM6	PSD13 sp|Q9UNM6|PSD13_HUMAN
P55060	XPO2 sp|P55060|XPO2_HUMAN
O00487	PSDE sp|O00487|PSDE_HUMAN
O00483	NDUA4 sp|O00483|NDUA4_HUMAN
Q9UQ88	CD11A sp|Q9UQ88|CD11A_HUMAN
P51946	CCNH sp|P51946|CCNH_HUMAN
P05141	ADT2 sp|P05141|ADT2_HUMAN/sp|P12235|ADT1_HUMAN/sp|P12236|ADT3_HUMAN
Q8N6R0	MET13 sp|Q8N6R0|MET13_HUMAN
O14545	TRAD1 sp|O14545|TRAD1_HUMAN
P37802	TAGL2 sp|P37802|TAGL2_HUMAN
Q8NBW4	S38A9 sp|Q8NBW4|S38A9_HUMAN
Q9NQR4	NIT2 sp|Q9NQR4|NIT2_HUMAN
P52948	NUP98 sp|P52948|NUP98_HUMAN
Q9NXJ5	PGPI sp|Q9NXJ5|PGPI_HUMAN
Q9UBE0	SAE1 sp|Q9UBE0|SAE1_HUMAN
P52306	GDS1 sp|P52306|GDS1_HUMAN
P14866	HNRPL sp|P14866|HNRPL_HUMAN
P14868	SYDC sp|P14868|SYDC_HUMAN
Q9BU23	LMF2 sp|Q9BU23|LMF2_HUMAN
Q8WWY3	PRP31 sp|Q8WWY3|PRP31_HUMAN
O95232	LC7L3 sp|O95232|LC7L3_HUMAN
Q9H7E9	CH033 sp|Q9H7E9|CH033_HUMAN
Q6IA86	ELP2 sp|Q6IA86|ELP2_HUMAN
P45954	ACDSB sp|P45954|ACDSB_HUMAN
O75818	RPP40 sp|O75818|RPP40_HUMAN
Q9H1K1	ISCU sp|Q9H1K1|ISCU_HUMAN
Q9NRP4	SDHF3 sp|Q9NRP4|SDHF3_HUMAN
Q9NRP0	OSTC sp|Q9NRP0|OSTC_HUMAN
Q08J23	NSUN2 sp|Q08J23|NSUN2_HUMAN
Q15102	PA1B3 sp|Q15102|PA1B3_HUMAN
P24539	AT5F1 sp|P24539|AT5F1_HUMAN/REV_sp|P53621|COPA_HUMAN
Q9Y446	PKP3 sp|Q9Y446|PKP3_HUMAN
Q9Y448	SKAP sp|Q9Y448|SKAP_HUMAN
P24534	EF1B sp|P24534|EF1B_HUMAN
Q8TF05	PP4R1 sp|Q8TF05|PP4R1_HUMAN
Q14181	DPOA2 sp|Q14181|DPOA2_HUMAN
P08134	RHOC sp|P08134|RHOC_HUMAN/sp|P61586|RHOA_HUMAN
Q9H2U2	IPYR2 sp|Q9H2U2|IPYR2_HUMAN
O60678	ANM3 sp|O60678|ANM3_HUMAN
Q9Y3A3	PHOCN sp|Q9Y3A3|PHOCN_HUMAN
O95905	ECD sp|O95905|ECD_HUMAN
Q96QU8	XPO6 sp|Q96QU8|XPO6_HUMAN
Q9H3K6	BOLA2 sp|Q9H3K6|BOLA2_HUMAN
Q7L5N1	CSN6 sp|Q7L5N1|CSN6_HUMAN
O43159	RRP8 sp|O43159|RRP8_HUMAN
P42677	RS27 sp|P42677|RS27_HUMAN/sp|Q71UM5|RS27L_HUMAN
O43156	TTI1 sp|O43156|TTI1_HUMAN
Q8TB61	S35B2 sp|Q8TB61|S35B2_HUMAN
Q8N0W3	FUK sp|Q8N0W3|FUK_HUMAN
P46379	BAG6 sp|P46379|BAG6_HUMAN
Q13451	FKBP5 sp|Q13451|FKBP5_HUMAN
P0CG38	POTEI sp|P0CG38|POTEI_HUMAN
P42704	LPPRC sp|P42704|LPPRC_HUMAN
P59998	ARPC4 sp|P59998|ARPC4_HUMAN
Q6GMV2	SMYD5 sp|Q6GMV2|SMYD5_HUMAN
Q99595	TI17A sp|Q99595|TI17A_HUMAN
O60256	KPRB sp|O60256|KPRB_HUMAN
Q13185	CBX3 sp|Q13185|CBX3_HUMAN
P46977	STT3A sp|P46977|STT3A_HUMAN
Q9H9B4	SFXN1 sp|Q9H9B4|SFXN1_HUMAN
P25788	PSA3 sp|P25788|PSA3_HUMAN
Q99543	DNJC2 sp|Q99543|DNJC2_HUMAN
P61326	MGN sp|P61326|MGN_HUMAN/sp|Q96A72|MGN2_HUMAN
O43447	PPIH sp|O43447|PPIH_HUMAN
P15104	GLNA sp|P15104|GLNA_HUMAN
P62306	RUXF sp|P62306|RUXF_HUMAN
P33316	DUT sp|P33316|DUT_HUMAN
Q8NI37	PPTC7 sp|Q8NI37|PPTC7_HUMAN
Q8NI36	WDR36 sp|Q8NI36|WDR36_HUMAN
O14727	APAF sp|O14727|APAF_HUMAN
P13861	KAP2 sp|P13861|KAP2_HUMAN
P54105	ICLN sp|P54105|ICLN_HUMAN
Q9UJZ1	STML2 sp|Q9UJZ1|STML2_HUMAN
P47736	RPGP1 sp|P47736|RPGP1_HUMAN
P31930	QCR1 sp|P31930|QCR1_HUMAN
Q16763	UBE2S sp|Q16763|UBE2S_HUMAN
P04843	RPN1 sp|P04843|RPN1_HUMAN
P55265	DSRAD sp|P55265|DSRAD_HUMAN
Q9NUI1	DECR2 sp|Q9NUI1|DECR2_HUMAN
Q9NR50	EI2BG sp|Q9NR50|EI2BG_HUMAN
Q9UBT2	SAE2 sp|Q9UBT2|SAE2_HUMAN
P47897	SYQ sp|P47897|SYQ_HUMAN
O95059	RPP14 sp|O95059|RPP14_HUMAN
Q53FT3	HIKES sp|Q53FT3|HIKES_HUMAN
P55072	TERA sp|P55072|TERA_HUMAN
P51570	GALK1 sp|P51570|GALK1_HUMAN
P52888	THOP1 sp|P52888|THOP1_HUMAN
Q9P2X0	DPM3 sp|Q9P2X0|DPM3_HUMAN
Q04828	AK1C1 sp|Q04828|AK1C1_HUMAN/sp|P52895|AK1C2_HUMAN
Q07020	RL18 sp|Q07020|RL18_HUMAN
Q9NSE4	SYIM sp|Q9NSE4|SYIM_HUMAN
P03915	NU5M sp|P03915|NU5M_HUMAN
Q9Y4X0	AMMR1 sp|Q9Y4X0|AMMR1_HUMAN/sp|Q6DCA0|AMERL_HUMAN
Q07157	ZO1 sp|Q07157|ZO1_HUMAN
Q96SU4	OSBL9 sp|Q96SU4|OSBL9_HUMAN
Q96ER9	CCD51 sp|Q96ER9|CCD51_HUMAN
Q15067	ACOX1 sp|Q15067|ACOX1_HUMAN
A5A3E0	POTEF sp|A5A3E0|POTEF_HUMAN
Q96ER3	SAAL1 sp|Q96ER3|SAAL1_HUMAN
Q04917	1433F sp|Q04917|1433F_HUMAN
O00743	PPP6 sp|O00743|PPP6_HUMAN
Q9Y230	RUVB2 sp|Q9Y230|RUVB2_HUMAN
P07741	APT sp|P07741|APT_HUMAN
Q9BTY7	HGH1 sp|Q9BTY7|HGH1_HUMAN
P08237	PFKAM sp|P08237|PFKAM_HUMAN
P08238	HS90B sp|P08238|HS90B_HUMAN
P84243	H33 sp|P84243|H33_HUMAN
Q8IZ69	TRM2A sp|Q8IZ69|TRM2A_HUMAN
Q7L014	DDX46 sp|Q7L014|DDX46_HUMAN
Q6PKG0	LARP1 sp|Q6PKG0|LARP1_HUMAN
Q1KMD3	HNRL2 sp|Q1KMD3|HNRL2_HUMAN
Q15118	PDK1 sp|Q15118|PDK1_HUMAN
P51991	ROA3 sp|P51991|ROA3_HUMAN
Q9Y305	ACOT9 sp|Q9Y305|ACOT9_HUMAN
Q9H840	GEMI7 sp|Q9H840|GEMI7_HUMAN
P14678	RSMB sp|P14678|RSMB_HUMAN/sp|P63162|RSMN_HUMAN
P28340	DPOD1 sp|P28340|DPOD1_HUMAN
Q9BVC5	ASHWN sp|Q9BVC5|ASHWN_HUMAN
Q9BVC4	LST8 sp|Q9BVC4|LST8_HUMAN
Q92598	HS105 sp|Q92598|HS105_HUMAN
P53602	MVD1 sp|P53602|MVD1_HUMAN
P32780	TF2H1 sp|P32780|TF2H1_HUMAN
Q86VP6	CAND1 sp|Q86VP6|CAND1_HUMAN
P35237	SPB6 sp|P35237|SPB6_HUMAN
P35232	PHB sp|P35232|PHB_HUMAN
P53041	PPP5 sp|P53041|PPP5_HUMAN
P00352	AL1A1 sp|P00352|AL1A1_HUMAN
O60664	PLIN3 sp|O60664|PLIN3_HUMAN
Q9UK45	LSM7 sp|Q9UK45|LSM7_HUMAN
Q9Y3F4	STRAP sp|Q9Y3F4|STRAP_HUMAN
Q92688	AN32B sp|Q92688|AN32B_HUMAN
Q6P9B9	INT5 sp|Q6P9B9|INT5_HUMAN
Q8N0X7	SPG20 sp|Q8N0X7|SPG20_HUMAN
P28838	AMPL sp|P28838|AMPL_HUMAN
Q96JB2	COG3 sp|Q96JB2|COG3_HUMAN
Q6NUQ4	TM214 sp|Q6NUQ4|TM214_HUMAN
Q9Y3T9	NOC2L sp|Q9Y3T9|NOC2L_HUMAN
Q96JB5	CK5P3 sp|Q96JB5|CK5P3_HUMAN
Q8IYB1	M21D2 sp|Q8IYB1|M21D2_HUMAN
Q99614	TTC1 sp|Q99614|TTC1_HUMAN
Q99615	DNJC7 sp|Q99615|DNJC7_HUMAN
O75663	TIPRL sp|O75663|TIPRL_HUMAN
P11802	CDK4 sp|P11802|CDK4_HUMAN
P53597	SUCA sp|P53597|SUCA_HUMAN
Q9H936	GHC1 sp|Q9H936|GHC1_HUMAN
Q9BSL1	UBAC1 sp|Q9BSL1|UBAC1_HUMAN
Q14139	UBE4A sp|Q14139|UBE4A_HUMAN
Q9NYL2	MLTK sp|Q9NYL2|MLTK_HUMAN
Q9NPA3	M1IP1 sp|Q9NPA3|M1IP1_HUMAN
P07900	HS90A sp|P07900|HS90A_HUMAN
Q9UNS2	CSN3 sp|Q9UNS2|CSN3_HUMAN
Q14152	EIF3A sp|Q14152|EIF3A_HUMAN
P21283	VATC1 sp|P21283|VATC1_HUMAN
Q15392	DHC24 sp|Q15392|DHC24_HUMAN
Q9Y5J1	UTP18 sp|Q9Y5J1|UTP18_HUMAN
P19623	SPEE sp|P19623|SPEE_HUMAN
P58004	SESN2 sp|P58004|SESN2_HUMAN
Q9UPY8	MARE3 sp|Q9UPY8|MARE3_HUMAN
P63241	IF5A1 sp|P63241|IF5A1_HUMAN/sp|Q6IS14|IF5AL_HUMAN
P63244	RACK1 sp|P63244|RACK1_HUMAN
P62330	ARF6 sp|P62330|ARF6_HUMAN
P62333	PRS10 sp|P62333|PRS10_HUMAN
Q9NZ45	CISD1 sp|Q9NZ45|CISD1_HUMAN
Q99439	CNN2 sp|Q99439|CNN2_HUMAN
Q16576	RBBP7 sp|Q16576|RBBP7_HUMAN
Q5UIP0	RIF1 sp|Q5UIP0|RIF1_HUMAN
Q13509	TBB3 sp|Q13509|TBB3_HUMAN
Q5TGZ0	MIC10 sp|Q5TGZ0|MIC10_HUMAN
Q13501	SQSTM sp|Q13501|SQSTM_HUMAN
P12694	ODBA sp|P12694|ODBA_HUMAN
Q16718	NDUA5 sp|Q16718|NDUA5_HUMAN
Q9BW27	NUP85 sp|Q9BW27|NUP85_HUMAN
Q08AM6	VAC14 sp|Q08AM6|VAC14_HUMAN
P12277	KCRB sp|P12277|KCRB_HUMAN
Q96KR1	ZFR sp|Q96KR1|ZFR_HUMAN
Q15286	RAB35 sp|Q15286|RAB35_HUMAN
P61247	RS3A sp|P61247|RS3A_HUMAN
P49721	PSB2 sp|P49721|PSB2_HUMAN
Q13617	CUL2 sp|Q13617|CUL2_HUMAN
Q9H6K1	CF106 sp|Q9H6K1|CF106_HUMAN
P04632	CPNS1 sp|P04632|CPNS1_HUMAN
P60866	RS20 sp|P60866|RS20_HUMAN
Q7L1Q6	BZW1 sp|Q7L1Q6|BZW1_HUMAN
Q9P0W2	HM20B sp|Q9P0W2|HM20B_HUMAN
P50613	CDK7 sp|P50613|CDK7_HUMAN
Q8NBQ5	DHB11 sp|Q8NBQ5|DHB11_HUMAN
P11908	PRPS2 sp|P11908|PRPS2_HUMAN/sp|P21108|PRPS3_HUMAN/sp|P60891|PRPS1_HUMAN
O14524	NEMP1 sp|O14524|NEMP1_HUMAN
O95104	SFR15 sp|O95104|SFR15_HUMAN
Q9NVH2	INT7 sp|Q9NVH2|INT7_HUMAN
P51692	STA5B sp|P51692|STA5B_HUMAN
Q5T440	CAF17 sp|Q5T440|CAF17_HUMAN
P53004	BIEA sp|P53004|BIEA_HUMAN
Q7Z4Q2	HEAT3 sp|Q7Z4Q2|HEAT3_HUMAN
Q12905	ILF2 sp|Q12905|ILF2_HUMAN
Q9NSD9	SYFB sp|Q9NSD9|SYFB_HUMAN
Q9UJW0	DCTN4 sp|Q9UJW0|DCTN4_HUMAN
Q969Q0	RL36L sp|Q969Q0|RL36L_HUMAN/sp|P83881|RL36A_HUMAN
Q9UKB3	DJC12 sp|Q9UKB3|DJC12_HUMAN
Q9P032	NDUF4 sp|Q9P032|NDUF4_HUMAN
P03928	ATP8 sp|P03928|ATP8_HUMAN
Q01518	CAP1 sp|Q01518|CAP1_HUMAN
Q96H20	SNF8 sp|Q96H20|SNF8_HUMAN
Q15050	RRS1 sp|Q15050|RRS1_HUMAN
Q9Y221	NIP7 sp|Q9Y221|NIP7_HUMAN
P50479	PDLI4 sp|P50479|PDLI4_HUMAN
Q9Y224	CN166 sp|Q9Y224|CN166_HUMAN
P08754	GNAI3 sp|P08754|GNAI3_HUMAN
P09622	DLDH sp|P09622|DLDH_HUMAN
P31323	KAP3 sp|P31323|KAP3_HUMAN
Q8IY81	SPB1 sp|Q8IY81|SPB1_HUMAN
Q86W42	THOC6 sp|Q86W42|THOC6_HUMAN
P24390	ERD21 sp|P24390|ERD21_HUMAN/sp|P33947|ERD22_HUMAN
Q70EK9	UBP51 sp|Q70EK9|UBP51_HUMAN/sp|Q9UPT9|UBP22_HUMAN
Q9Y314	NOSIP sp|Q9Y314|NOSIP_HUMAN
Q9H0W9	CK054 sp|Q9H0W9|CK054_HUMAN
Q9Y312	AAR2 sp|Q9Y312|AAR2_HUMAN
P46776	RL27A sp|P46776|RL27A_HUMAN
Q8TF66	LRC15 sp|Q8TF66|LRC15_HUMAN
P46779	RL28 sp|P46779|RL28_HUMAN
Q14008	CKAP5 sp|Q14008|CKAP5_HUMAN
O75477	ERLN1 sp|O75477|ERLN1_HUMAN
Q3ZCQ8	TIM50 sp|Q3ZCQ8|TIM50_HUMAN
Q9H583	HEAT1 sp|Q9H583|HEAT1_HUMAN
Q14232	EI2BA sp|Q14232|EI2BA_HUMAN
Q5T160	SYRM sp|Q5T160|SYRM_HUMAN
P05455	LA sp|P05455|LA_HUMAN
O75874	IDHC sp|O75874|IDHC_HUMAN
Q92878	RAD50 sp|Q92878|RAD50_HUMAN
O75879	GATB sp|O75879|GATB_HUMAN
Q96JC9	EAF1 sp|Q96JC9|EAF1_HUMAN
P53582	MAP11 sp|P53582|MAP11_HUMAN
Q9Y3U8	RL36 sp|Q9Y3U8|RL36_HUMAN
Q13057	COASY sp|Q13057|COASY_HUMAN
Q5HYI8	RABL3 sp|Q5HYI8|RABL3_HUMAN
O75616	ERAL1 sp|O75616|ERAL1_HUMAN
P62753	RS6 sp|P62753|RS6_HUMAN
P18031	PTN1 sp|P18031|PTN1_HUMAN
P04075	ALDOA sp|P04075|ALDOA_HUMAN
Q8WW33	GTSF1 sp|Q8WW33|GTSF1_HUMAN
Q6UB35	C1TM sp|Q6UB35|C1TM_HUMAN
O43736	ITM2A sp|O43736|ITM2A_HUMAN
Q9H6V9	LDAH sp|Q9H6V9|LDAH_HUMAN
P41250	SYG sp|P41250|SYG_HUMAN
P41252	SYIC sp|P41252|SYIC_HUMAN
Q9Y5Y2	NUBP2 sp|Q9Y5Y2|NUBP2_HUMAN
O95336	6PGL sp|O95336|6PGL_HUMAN
Q14141	SEPT6 sp|Q14141|SEPT6_HUMAN
Q9H4L7	SMRCD sp|Q9H4L7|SMRCD_HUMAN
Q9H4B7	TBB1 sp|Q9H4B7|TBB1_HUMAN
P07355	ANXA2 sp|P07355|ANXA2_HUMAN/sp|A6NMY6|AXA2L_HUMAN
O95456	PSMG1 sp|O95456|PSMG1_HUMAN
O75127	PTCD1 sp|O75127|PTCD1_HUMAN
Q5VTL8	PR38B sp|Q5VTL8|PR38B_HUMAN
P31943	HNRH1 sp|P31943|HNRH1_HUMAN/sp|P55795|HNRH2_HUMAN
A6NHL2	TBAL3 sp|A6NHL2|TBAL3_HUMAN
Q9UDX5	MTFP1 sp|Q9UDX5|MTFP1_HUMAN
Q06203	PUR1 sp|Q06203|PUR1_HUMAN
Q9H5V9	CX056 sp|Q9H5V9|CX056_HUMAN
O14983	AT2A1 sp|O14983|AT2A1_HUMAN/sp|P16615|AT2A2_HUMAN/sp|Q93084|AT2A3_HUMAN
O14980	XPO1 sp|O14980|XPO1_HUMAN
P36542	ATPG sp|P36542|ATPG_HUMAN
Q9Y5K5	UCHL5 sp|Q9Y5K5|UCHL5_HUMAN
P62304	RUXE sp|P62304|RUXE_HUMAN
Q96PU8	QKI sp|Q96PU8|QKI_HUMAN
Q9ULP9	TBC24 sp|Q9ULP9|TBC24_HUMAN
P12268	IMDH2 sp|P12268|IMDH2_HUMAN
Q8NB37	PDDC1 sp|Q8NB37|PDDC1_HUMAN
Q9NR31	SAR1A sp|Q9NR31|SAR1A_HUMAN
Q9NR30	DDX21 sp|Q9NR30|DDX21_HUMAN
P34897	GLYM sp|P34897|GLYM_HUMAN
P13796	PLSL sp|P13796|PLSL_HUMAN
O95071	UBR5 sp|O95071|UBR5_HUMAN
O95671	ASML sp|O95671|ASML_HUMAN
A0FGR8	ESYT2 sp|A0FGR8|ESYT2_HUMAN
Q9H0H0	INT2 sp|Q9H0H0|INT2_HUMAN
P50570	DYN2 sp|P50570|DYN2_HUMAN
Q9NVI7	ATD3A REV_sp|Q6ZSZ5|ARHGI_HUMAN/sp|Q9NVI7|ATD3A_HUMAN/sp|Q5T9A4|ATD3B_HUMAN
Q7Z434	MAVS sp|Q7Z434|MAVS_HUMAN
Q6NZY4	ZCHC8 sp|Q6NZY4|ZCHC8_HUMAN
Q9NVI1	FANCI sp|Q9NVI1|FANCI_HUMAN
P30084	ECHM sp|P30084|ECHM_HUMAN
Q9NYA1	SPHK1 sp|Q9NYA1|SPHK1_HUMAN
Q9BVS4	RIOK2 sp|Q9BVS4|RIOK2_HUMAN
P13224	GP1BB sp|P13224|GP1BB_HUMAN
P57740	NU107 sp|P57740|NU107_HUMAN
O15027	SC16A sp|O15027|SC16A_HUMAN
P32298	GRK4 sp|P32298|GRK4_HUMAN
Q9Y3C1	NOP16 sp|Q9Y3C1|NOP16_HUMAN
Q9BYB4	GNB1L sp|Q9BYB4|GNB1L_HUMAN
P06748	NPM sp|P06748|NPM_HUMAN
Q567V2	M17L2 sp|Q567V2|M17L2_HUMAN
Q29RF7	PDS5A sp|Q29RF7|PDS5A_HUMAN
Q96EB1	ELP4 sp|Q96EB1|ELP4_HUMAN
Q86WB0	NIPA sp|Q86WB0|NIPA_HUMAN
P23921	RIR1 sp|P23921|RIR1_HUMAN
Q9UBF2	COPG2 sp|Q9UBF2|COPG2_HUMAN
O00299	CLIC1 sp|O00299|CLIC1_HUMAN
Q9UBF6	RBX2 sp|Q9UBF6|RBX2_HUMAN
Q9HAV7	GRPE1 sp|Q9HAV7|GRPE1_HUMAN
Q04206	TF65 sp|Q04206|TF65_HUMAN
O95202	LETM1 sp|O95202|LETM1_HUMAN
P56182	RRP1 sp|P56182|RRP1_HUMAN
Q15042	RB3GP sp|Q15042|RB3GP_HUMAN
P31689	DNJA1 sp|P31689|DNJA1_HUMAN
Q15041	AR6P1 sp|Q15041|AR6P1_HUMAN
Q15046	SYK sp|Q15046|SYK_HUMAN
Q9NSI8	SAMN1 sp|Q9NSI8|SAMN1_HUMAN
Q13867	BLMH sp|Q13867|BLMH_HUMAN
P49915	GUAA sp|P49915|GUAA_HUMAN
P31350	RIR2 sp|P31350|RIR2_HUMAN
P78395	PRAME sp|P78395|PRAME_HUMAN
Q9BVA1	TBB2B sp|Q9BVA1|TBB2B_HUMAN/sp|Q13885|TBB2A_HUMAN
Q58FF7	H90B3 sp|Q58FF7|H90B3_HUMAN/sp|P08238|HS90B_HUMAN
O60506	HNRPQ sp|O60506|HNRPQ_HUMAN/sp|O43390|HNRPR_HUMAN
Q86U90	YRDC sp|Q86U90|YRDC_HUMAN
P07437	TBB5 sp|P07437|TBB5_HUMAN/sp|Q9BVA1|TBB2B_HUMAN/sp|Q13509|TBB3_HUMAN/sp|Q13885|TBB2A_HUMAN
P39210	MPV17 sp|P39210|MPV17_HUMAN
Q96SW2	CRBN sp|Q96SW2|CRBN_HUMAN
P43246	MSH2 sp|P43246|MSH2_HUMAN
P39748	FEN1 sp|P39748|FEN1_HUMAN
P43243	MATR3 sp|P43243|MATR3_HUMAN
Q01433	AMPD2 sp|Q01433|AMPD2_HUMAN
P23381	SYWC sp|P23381|SYWC_HUMAN
P49005	DPOD2 sp|P49005|DPOD2_HUMAN
Q9Y3D0	MIP18 sp|Q9Y3D0|MIP18_HUMAN
P35219	CAH8 sp|P35219|CAH8_HUMAN
Q9Y3D8	KAD6 sp|Q9Y3D8|KAD6_HUMAN
Q9H3H5	GPT sp|Q9H3H5|GPT_HUMAN
Q9H3H3	CK068 sp|Q9H3H3|CK068_HUMAN
P27707	DCK sp|P27707|DCK_HUMAN
Q96SI9	STRBP sp|Q96SI9|STRBP_HUMAN
P00374	DYR sp|P00374|DYR_HUMAN
P27708	PYR1 sp|P27708|PYR1_HUMAN
Q8TEQ6	GEMI5 sp|Q8TEQ6|GEMI5_HUMAN
P18858	DNLI1 sp|P18858|DNLI1_HUMAN
P00395	COX1 sp|P00395|COX1_HUMAN
P00390	GSHR sp|P00390|GSHR_HUMAN
Q92482	AQP3 sp|Q92482|AQP3_HUMAN
Q9Y3Z3	SAMH1 sp|Q9Y3Z3|SAMH1_HUMAN
O75608	LYPA1 sp|O75608|LYPA1_HUMAN
Q9Y4B6	VPRBP sp|Q9Y4B6|VPRBP_HUMAN
Q9H8M7	F188A sp|Q9H8M7|F188A_HUMAN
O75607	NPM3 sp|O75607|NPM3_HUMAN
Q13042	CDC16 sp|Q13042|CDC16_HUMAN
Q9NPQ8	RIC8A sp|Q9NPQ8|RIC8A_HUMAN
Q9NRM2	ZN277 sp|Q9NRM2|ZN277_HUMAN
Q9GZZ9	UBA5 sp|Q9GZZ9|UBA5_HUMAN
Q9Y508	RN114 sp|Q9Y508|RN114_HUMAN
P48357	LEPR sp|P48357|LEPR_HUMAN
O43299	AP5Z1 sp|O43299|AP5Z1_HUMAN
P25705	ATPA sp|P25705|ATPA_HUMAN
O43617	TPPC3 sp|O43617|TPPC3_HUMAN
Q9H4M9	EHD1 sp|Q9H4M9|EHD1_HUMAN
Q9P258	RCC2 sp|Q9P258|RCC2_HUMAN
Q8IUR0	TPPC5 sp|Q8IUR0|TPPC5_HUMAN
Q8IUR7	ARMC8 sp|Q8IUR7|ARMC8_HUMAN
P15153	RAC2 sp|P15153|RAC2_HUMAN
P24941	CDK2 sp|P24941|CDK2_HUMAN
P49356	FNTB sp|P49356|FNTB_HUMAN
Q16822	PCKGM sp|Q16822|PCKGM_HUMAN
O75131	CPNE3 sp|O75131|CPNE3_HUMAN
P50748	KNTC1 sp|P50748|KNTC1_HUMAN
Q9UBW8	CSN7A sp|Q9UBW8|CSN7A_HUMAN
Q96GC9	VMP1 sp|Q96GC9|VMP1_HUMAN
Q15738	NSDHL sp|Q15738|NSDHL_HUMAN
